Sl. No.,C,Si,Mn,P,Ni,Cr,Mo,Mn/S,CR,TT,YS,UTS,EL,RA,IS
105,0.42,0.25,1.4,0.033,0.77,0.49,0.18,40,3,620,756,943,20.5,50,66
106,0.42,0.25,1.4,0.033,0.77,0.49,0.18,40,3,650,693,858,23,62,66
107,0.43,0.25,1.34,0.032,0.97,0.56,0.21,41,9,630,778,891,23.5,64,69
108,0.43,0.35,1.31,0.038,0.64,0.42,0.14,36,45,550,889,1004,23,54.5,53
109,0.44,0.36,1.43,0.038,0.68,0.5,0.17,41,38,550,1064,1168,16.5,32,27
110,0.44,0.36,1.43,0.038,0.68,0.5,0.17,41,38,600,976,1072,18.5,52,48
111,0.44,0.36,1.43,0.038,0.68,0.5,0.17,41,7,550,1046,1136,17.5,48,27
112,0.44,0.36,1.43,0.038,0.68,0.5,0.17,41,7,650,775,900,23,60,86
113,0.32,0.23,1.28,0.028,0.85,0.46,0.16,38,7,625,660,803,21,59,81
114,0.33,0.19,1.45,0.026,0.89,0.56,0.12,73,42,580,961,1043,20,54,51
115,0.35,0.19,1.28,0.02,0.85,0.46,0.16,79,38,580,934,1019,18,53,35
116,0.35,0.19,1.33,0.026,0.91,0.43,0.15,79,12,600,853,958,20.5,59,54
117,0.35,0.25,0.33,0.032,0.91,0.43,0.15,8,7,450,692,844,21.5,57.5,30
118,0.35,0.25,0.33,0.032,0.91,0.43,0.15,8,3,550,645,827,22,56.5,60
119,0.35,0.25,0.33,0.032,0.91,0.43,0.15,8,34,450,914,1020,19,55,46
120,0.36,0.2,1.28,0.036,0.74,0.46,0.25,49,38,650,912,1014,20.5,59,26
121,0.36,0.2,1.28,0.036,0.74,0.46,0.25,49,7,550,760,886,22,64,65
122,0.37,0.2,1.25,0.03,0.76,0.47,0.21,42,7,650,889,1016,21,57,43
123,0.38,0.33,1.26,0.02,0.56,0.5,0.21,79,23,450,1162,1295,14,45,15
124,0.38,0.33,1.26,0.02,0.56,0.5,0.21,79,8,570,1004,1125,19,55,40
125,0.38,0.33,1.26,0.02,0.56,0.5,0.21,79,8,650,791,924,22,59.5,74
126,0.39,0.25,1.41,0.025,0.9,0.38,0.18,47,54,650,712,867,22,56,69
127,0.39,0.25,1.4,0.036,0.81,0.43,0.24,41,54,590,1095,1131,17.5,55,42
128,0.39,0.3,1.36,0.036,1.08,0.35,0.21,40,38,640,778,894,21,57,60
129,0.4,0.2,1.36,0.035,1,0.53,0.23,54,45,580,1052,1119,19,54,38
130,0.4,0.3,1.51,0.034,0.89,0.21,0.16,42,38,550,1016,1070,17.5,47,44
131,0.4,0.3,1.51,0.034,0.89,0.21,0.16,42,38,650,797,839,26,61.5,93
132,0.4,0.3,1.51,0.034,0.89,0.21,0.16,42,38,700,547,912,19,40.5,63
133,0.4,0.3,1.51,0.034,0.89,0.21,0.16,42,9,500,1016,1125,16.5,47,15
134,0.4,0.3,1.51,0.034,0.89,0.21,0.16,42,3,700,566,733,29,63.5,93
135,0.42,0.27,1.36,0.035,0.87,0.49,0.21,36,7,660,684,821,27,61.5,84
136,0.42,0.25,1.4,0.033,0.77,0.49,0.18,40,38,620,882,979,18.5,55,56
137,0.42,0.25,1.4,0.033,0.77,0.49,0.18,40,38,590,880,985,18.5,50,58
138,0.42,0.25,1.4,0.033,0.77,0.49,0.18,40,3,560,858,994,15,31,30
139,0.44,0.36,1.43,0.038,0.68,0.5,0.17,41,38,650,832,938,22.5,58.5,80
140,0.44,0.36,1.43,0.038,0.68,0.5,0.17,41,7,600,914,1037,17.5,49,57
